ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,sheet_PlateNo,sheet_VehicleType,sheet_Status
65700f09-27cf-4d4c-916a-a121a5b2b91b,alrdxb41850w,HYUNDAI,TUCSON,ALR DXB 41850 W,Mid SUV,Hired
1da16a75-0b31-44d1-8dd4-d3ce1eac3cb0,alrdxb76186g,NISSAN,KICKS,ALR DXB 76186 G,Compact Crossover,Hired
35fe460e-d36b-49cb-9fa3-0777c6c4d4b7,amdxb12629x,NISSAN,ALTIMA,AM DXB 12629 X,Mid Size Sedan,Hired
fb37c025-5732-48ba-a330-507a87d05370,andxb46002n,AUDI,A3 PROGRESS +,AN DXB 46002 N,Premium,Hired
f37b4004-30a8-4c76-9cc7-b41ad35fc54e,csdxb26450b,MAZDA,3,CS DXB 26450 B,Mid Size Sedan,Hired
74d973d9-0f7e-4e8f-95ef-5969652fe384,cwdxb78128h,MITSUBISHI,XPANDER,CW DXB 78128 H,APV,Not Ready
634e349f-e054-4cad-b72b-5737e48e7914,ftdxb22187n,MAZDA,CX-60 V-GRADE,FT DXB 22187 N,Large SUV,Workshop
589091b2-50f5-4304-a260-15692342da65,ftdxb35287g,MAZDA,CX5,FT DXB 35287 G,Mid SUV,Available
c335e229-a908-4c10-9d5a-dcac1b982284,ftdxb70671z,MAZDA,CX9,FT DXB 70671 Z,Large SUV,Hired
f72539bc-b11a-44f2-a51e-5534111f3305,ftdxb72012z,NISSAN,SUNNY,FT DXB 72012 Z,Economy,Not Ready
