first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,bdac232ee15e0077e7ae3605bc95aac0,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,009566dd373579df7efd78106f4751e1,[],[],,,,AUDI,True,False,,A8,A8,,AUDI A8,,,,AUDI,,[]
,,c36f16aee06607559395a9f37c3ec87a,[],[],,,,AUDI,True,False,,Q8,Q8,,AUDI Q8,,,,AUDI,,[]
,,410065b80824ba1d59ef98002466cd96,[],[],,,,BENTLEY,True,False,,CONTINENTAL,CONTINENTAL,,BENTLEY CONTINENTAL,,,,BENTLEY,,[]
,,4c2e549fcb156151702ac65170e2a7b8,[],[],,,,BMW,True,False,,420I,420I,,BMW 420I,,,,BMW,,[]
,,5768ca0b5c7d1fd2766b9c8af9608bd7,[],[],,,,BMW,True,False,,735,735,,BMW 735,,,,BMW,,[]
,,df307ebc101d5a0a7d64052459610649,[],[],,,,BMW,True,False,,X6,X6,,BMW X6,,,,BMW,,[]
,,ac3b7ae93584c0c403649f6bda7eb7c6,[],[],,,,CADILLAC,True,False,,ELEGANCE,ELEGANCE,,CADILLAC ELEGANCE,,,,CADILLAC,,[]
,,89dc771003e3123ae028347823274f96,[],[],,,,CADILLAC,True,False,,ESCALADE,ESCALADE,,CADILLAC ESCALADE,,,,CADILLAC,,[]
,,e2257fadf6087c7c3e5dfe61ca836d78,[],[],,,,CHEVROLET,True,False,,CAPTIVA,CAPTIVA,,CHEVROLET CAPTIVA,,,,CHEVROLET,,[]
,,f4d52cdcc861e231a099a352c63c0158,[],[],,,,GMC,True,False,,YUKON,YUKON,,GMC YUKON,,,,GMC,,[]
,,3a5e31a27fe8904e1b45bf55f0751cb7,[],[],,,,HYUNDAI,True,False,,CRETA,CRETA,,HYUNDAI CRETA,,,,HYUNDAI,,[]
,,f933c5d2c811449f4d982b3ab6ae1c60,[],[],,,,HYUNDAI,True,False,,ELANTRA,ELANTRA,,HYUNDAI ELANTRA,,,,HYUNDAI,,[]
,,61604b42aa07a39a3b7b4f3c7015ff44,[],[],,,,HYUNDAI,True,False,,SONATA,SONATA,,HYUNDAI SONATA,,,,HYUNDAI,,[]
,,e84259d1578edaba533117252291179d,[],[],,,,HYUNDAI,True,False,,TUCSON,TUCSON,,HYUNDAI TUCSON,,,,HYUNDAI,,[]
,,61b44536686f3c9fc062118c880b130f,[],[],,,,JAC,True,False,,J7,J7,,JAC J7,,,,JAC,,[]
,,730ec914ec11c6d901ef0a3b7a7200b2,[],[],,,,JAC,True,False,,S3,S3,,JAC S3,,,,JAC,,[]
,,7370f965d87167a91680536a8473fc4a,[],[],,,,KIA,True,False,,CARNIVAL,CARNIVAL,,KIA CARNIVAL,,,,KIA,,[]
,,e83ec53e1f5fb226c42f4b8467c192b7,[],[],,,,KIA,True,False,,K5,K5,,KIA K5,,,,KIA,,[]
,,be5e9a9851d3d59ee19a590355368fec,[],[],,,,KIA,True,False,,PEGAS,PEGAS,,KIA PEGAS,,,,KIA,,[]
,,de483ef9abc123c54919b6eb79236380,[],[],,,,KIA,True,False,,PICANTO,PICANTO,,KIA PICANTO,,,,KIA,,[]
,,0dd9860df4ef0ca5b5e89beb908906e0,[],[],,,,KIA,True,False,,SELTOS,SELTOS,,KIA SELTOS,,,,KIA,,[]
,,289faf6f7c744ff55e196848bff1d9e5,[],[],,,,KIA,True,False,,SORENTO,SORENTO,,KIA SORENTO,,,,KIA,,[]
,,c0dfad88374c2ef55d5241e1d25ebfff,[],[],,,,KIA,True,False,,SPORTAGE,SPORTAGE,,KIA SPORTAGE,,,,KIA,,[]
,,73a9d03c3968d40bc1ed9c7470b5e774,[],[],,,,LAMBORGHINI,True,False,,HURACAN,HURACAN,,LAMBORGHINI HURACAN,,,,LAMBORGHINI,,[]
,,ebe6be99ae2c048229660729fdcfb2a7,[],[],,,,LAMBORGHINI,True,False,,URUS MY20,URUS MY20,,LAMBORGHINI URUS MY20,,,,LAMBORGHINI,,[]
,,0cee7d014a0aac0b2dd92f60cc624a36,[],[],,,,LAND ROVER,True,False,,DEFENDER,DEFENDER,,LAND ROVER DEFENDER,,,,LAND ROVER,,[]
,,51ef560d452640e95c92a7d7c5b76053,[],[],,,,MAZDA,True,False,,6,6,,MAZDA 6,,,,MAZDA,,[]
,,586cf11a492a5d1e517b613efd30b52f,[],[],,,,MERCEDES,True,False,,C200,C200,,MERCEDES C200,,,,MERCEDES,,[]
,,eaa67a083184f9c9aa23111a0afe5f3d,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,82e12c04d7ace7da7a3394411453b7a1,[],[],,,,MERCEDES,True,False,,E200,E200,,MERCEDES E200,,,,MERCEDES,,[]
,,519c4c2d04abbca75dc1649d4b335130,[],[],,,,MERCEDES,True,False,,G63,G63,,MERCEDES G63,,,,MERCEDES,,[]
,,256cc8cec8e9d007c074833e17ce36a0,[],[],,,,MERCEDES,True,False,,S500,S500,,MERCEDES S500,,,,MERCEDES,,[]
,,322a4e7a01a9299b2ce48d1f71ae2273,[],[],,,,NISSAN,True,False,,KICKS,KICKS,,NISSAN KICKS,,,,NISSAN,,[]
,,e7fbde2d527506a740423c48dc8e2ce5,[],[],,,,NISSAN,True,False,,PATROL,PATROL,,NISSAN PATROL,,,,NISSAN,,[]
,,a7ad31aba8d08645eac284268bed12d7,[],[],,,,NISSAN,True,False,,PATROL SE PL,PATROL SE PL,,NISSAN PATROL SE PL,,,,NISSAN,,[]
,,bb5d21e0007f3b51300dbd0d2961469c,[],[],,,,NISSAN,True,False,,SUNNY,SUNNY,,NISSAN SUNNY,,,,NISSAN,,[]
,,9f6ee0c61c231a0af12d45077378b82d,[],[],,,,PORSCHE,True,False,,CAYENNE COUPE,CAYENNE COUPE,,PORSCHE CAYENNE COUPE,,,,PORSCHE,,[]
,,e8bc74681b932fcd2a9b3a40bf706eda,[],[],,,,RANGE,True,False,,ROVER HSE,ROVER HSE,,RANGE ROVER HSE,,,,RANGE,,[]
,,399eb77ee856051ef910dd245897ea3d,[],[],,,,TOYOTA,True,False,,LAND CRUISER,LAND CRUISER,,TOYOTA LAND CRUISER,,,,TOYOTA,,[]
,,34935fd6d8c0c0102c5e324eaadbf50f,[],[],,,,TOYOTA,True,False,,PRADO,PRADO,,TOYOTA PRADO,,,,TOYOTA,,[]
,,f8d11da89dbc649001727ad36334e97a,[],[],,,,TOYOTA,True,False,,RUSH,RUSH,,TOYOTA RUSH,,,,TOYOTA,,[]
